img_id	crowdedness	obj_cnt	obj_size	contrast
1	0.24477605650652887	31	0.09616411290322582	60.08818371507086
2	0.308017349621476	25	0.054038916666666666	60.984430925949205
5	0.31348327927050923	31	0.09836619623655912	61.356470930000604
6	0.3189635964226165	29	0.07651551724137934	47.54778549930042
7	0.2732010216949468	43	0.04032863372093023	64.7951401610764
8	0.3280041079364902	38	0.03576162280701754	67.53161620531576
10	0.27458954519542816	37	0.05384397522522522	55.866123866674585
11	0.3365168574676449	30	0.08220500000000001	74.2074013741637
12	0.34660649773251273	20	0.06873572916666666	61.84687883369688
13	0.29753068934894106	28	0.10885305059523809	63.631027194558825
14	0.3092965067809202	27	0.1360750771604938	62.80342292747651
15	0.34500440220248696	22	0.17548892045454545	63.49857785534288
16	0.25364913601593264	43	0.06381923449612402	39.61289341147857
17	0.2539596617800373	43	0.10370535065406973	56.7147727580239
18	0.32746674068223586	23	0.1087024456521739	85.73351495767277
19	0.2913925575706988	40	0.053085208333333335	68.77246544130094
20	0.32512093652381396	33	0.06996729797979798	85.1831154230977
22	0.28664145561022003	32	0.07375813802083332	75.38109317535024
23	0.30983890714762696	29	0.10305768678160919	80.27219474997175
24	0.23537666322178694	26	0.12915440705128203	54.68585858851937
25	0.26022821864719387	38	0.07813404605263159	71.22541448393346
26	0.31132496623330674	50	0.06647620833333334	60.92388988648605
27	0.2614851803608979	21	0.17535625000000005	62.59390142634366
28	0.3099498202463097	30	0.10663236111111113	63.06745974642065
29	0.25510890099394146	34	0.09538884803921568	39.75138378940492
30	0.3373908063093877	30	0.10904729166666667	52.74633866799808
31	0.2844853038673539	20	0.08925781250000002	52.85051025480958
32	0.22449401806803054	35	0.07496928571428571	54.03972196800197
33	0.3048042516178749	40	0.08394437499999999	69.04459927044428
34	0.3230762190583445	39	0.07593477564102565	65.03172339070902
35	0.2964298913726013	29	0.17631853448275864	62.11089377685433
36	0.2734061062578412	34	0.07525863970588235	65.04729243207719
37	0.34966435450469985	36	0.11535040509259262	59.00633683529779
41	0.348537250691848	26	0.09345280448717949	53.315701052190285
42	0.30985814830916264	27	0.2260542438271605	48.521790122854604
43	0.291227776781789	26	0.15433285256410256	57.51287852259203
44	0.28112361062975333	34	0.09157248774509802	57.54935274870062
45	0.29338237929254063	24	0.057940190972222215	53.655822610720044
46	nan	0	nan	52.03334343550227
47	0.30192689051066013	29	0.1083796695402299	59.70049749412394
48	0.27379414578662786	52	0.06432764423076923	57.78957282887775
50	0.2974346582172196	30	0.04286430555555556	56.66194501865869
52	0.3030717787493222	31	0.10854939516129034	87.31264109210244
54	0.3168491987907466	38	0.028021765350877186	69.22660644121099
55	0.2807552309719762	39	0.06587040598290599	70.96642451655954
56	0.247563719409942	8	0.05132109374999999	66.32734018433997
57	0.3011624036108295	15	0.09587097222222221	63.35588488045868
58	0.2921473709781469	25	0.059082499999999996	52.30290603427802
59	0.3263261175811811	29	0.04206961206896551	64.6933764939166
60	nan	0	nan	50.49950684771311
61	0.32262315420654014	13	0.08557644230769229	67.04070464974832
62	nan	0	nan	68.10444095979736
63	0.26696079275829493	15	0.11483916666666667	38.98357920862233
64	nan	0	nan	65.2628900122138
65	0.30074130507774305	29	0.0967628591954023	64.23421743764818
77	0.26852823200605147	44	0.06625890151515151	63.59942290223463
87	0.23799793183582582	19	0.08168388157894738	60.26237184685085
101	0.30287424559421017	30	0.040307916666666666	64.76386016988307
102	0.3506457117841956	24	0.0553795138888889	54.160979193593015
103	0.2911753753139824	29	0.052348419540229896	67.6566112369422
104	0.31182681322828043	38	0.0823375	40.293984540764264
105	0.2801688902953088	27	0.125589737654321	52.61425047334145
106	nan	0	nan	62.30900777440305
107	0.3621811719434903	25	0.065307	60.080747759712594
108	0.31781695374365315	30	0.04176312499999999	59.79172474497049
110	0.2814052619485604	21	0.11645218253968255	61.44094740390067
111	nan	0	nan	52.60904206594716
112	0.30549596828957687	35	0.059683273809523804	53.31567756371205
113	0.2994968610541822	31	0.05666001344086021	62.236358192305346
116	nan	0	nan	53.33229889877842
117	0.30217922801045183	20	0.18235781249999997	42.31520614051855
118	0.2309895816998445	15	0.13657666666666665	49.96569475933727
119	0.2336083751105908	19	0.15196326754385966	72.88620978072554
120	0.25872588462525675	22	0.14230549242424245	53.71550903236455
121	0.31049635135222103	14	0.1527782738095238	52.53044452584933
